Player,Team,Position,GW,FPTS,Ghost Points,Overperformance,HeatStreak,Negative Fpts,Ros Rank,LiveRkOv,LiveRkOvByPos,Ros RankByPos,GS,GP,G,KP,AT,SOT,TKW,DIS,YC,RC,ACNC,INT,CLR,COS,BS,AER,PKM,PKD,OG,GAO,CS,ROS %,MIN
James Ward-Prowse,WHU,M,8,5.0,5.0,2,40.0,0.0,14,13,4,6,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,2,0,85%,90
Philip Billing,BOU,M,8,5.0,5.0,11,9.5,-1.5,122,108,32,43,1,1,0,1,0,0,2,3,0,0,0,0,3,0,1,3,0,0,0,3,0,71%,90
Gustavo Hamer,SHU,M,8,5.0,5.0,9,16.5,0.0,99,67,25,34,1,1,0,0,0,0,2,0,0,0,1,0,0,1,1,0,0,0,0,1,0,60%,65
Carlton Morris,LUT,F,8,5.0,5.0,17,36.0,-2.5,86,30,11,28,1,1,0,1,0,1,0,1,1,0,0,0,1,2,0,3,0,0,0,1,0,93%,90
Tahith Chong,LUT,M,8,5.0,5.0,-42,5.0,0.0,200,318,93,51,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3%,22
Cameron Archer,SHU,F,8,5.0,5.0,-5,11.5,-2.0,200,218,47,42,1,1,0,2,0,0,0,4,0,0,0,0,0,2,0,2,0,0,0,2,0,11%,78
Ezri Konsa,AVL,D,8,4.75,4.75,-19,17.5,-2.0,200,195,48,29,1,1,0,1,0,1,0,0,0,0,0,1,3,0,1,0,0,0,0,1,0,23%,90
Auston Trusty,SHU,D,8,4.75,4.75,-56,5.25,-6.5,200,348,85,29,1,1,0,1,0,0,1,1,0,0,0,0,13,0,2,3,0,0,0,3,0,1%,90
Enzo Fernandez,CHE,M,8,4.5,4.5,9,16.0,-3.0,108,104,30,39,1,1,0,0,0,1,2,2,1,0,0,2,0,1,0,1,0,0,0,1,0,97%,90
Nicolas Dominguez,NOT,M,8,4.5,3.5,-19,25.0,0.0,200,221,70,51,1,1,0,0,0,1,0,0,0,0,0,1,2,0,0,1,0,0,0,0,1,12%,90
Nathan Collins,BRF,D,8,4.5,4.5,3,15.0,-6.0,200,116,26,29,1,1,0,0,0,0,1,0,1,0,0,2,6,1,1,4,0,0,0,2,0,37%,90
Ibrahim Sangare,NOT,M,8,4.5,3.5,-31,8.0,-1.0,200,265,82,51,1,1,0,1,0,0,1,2,0,0,0,0,0,1,0,1,0,0,0,0,1,8%,75
Ryan Gravenberch,LIV,M,8,4.5,4.5,-47,5.0,0.0,143,330,96,49,0,1,0,0,0,1,0,0,0,0,0,1,2,1,0,1,0,0,0,1,0,34%,45
Elliot Anderson,NEW,M,8,4.5,4.5,15,31.5,-1.0,150,113,35,50,1,1,0,1,0,0,0,2,0,0,0,1,1,2,0,1,0,0,0,2,0,35%,88
Kieffer Moore,BOU,F,8,4.5,4.5,-23,5.0,-0.5,200,342,65,42,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0%,23
Marvelous Nakamba,LUT,M,8,4.5,4.5,10,20.5,-0.5,200,129,41,51,1,1,0,1,0,0,2,1,0,0,0,0,3,1,0,0,0,0,0,1,0,13%,90
Dan Burn,NEW,D,8,4.25,4.25,2,45.0,-4.5,89,69,14,16,1,1,0,1,0,1,0,1,0,0,1,1,3,0,0,2,0,0,0,2,0,98%,90
Jeremy Doku,MCI,F,8,4.0,4.0,-15,25.5,0.0,34,99,30,15,0,1,0,0,0,0,1,0,0,0,0,2,1,1,0,0,0,0,0,1,0,83%,21
