id,player_id,player_name,season,shotZone,goals,shots,xG,assists,key_passes,xA,npg,npxG,npxG+xA,key_passes+shots,goal_conversion_rate,assist_to_key_pass_ratio
5125,11984,Youssef Chermiti,2023,shotPenaltyArea,0.0,1.0,0.06607918441295624,0.0,0.0,0.0,0.0,0.06607918441295624,0.07,1.0,0.0,
3037,6835,Tom Cairney,2023,shotPenaltyArea,0.0,1.0,0.06487946957349777,0.0,1.0,0.5521683096885681,0.0,0.06487946957349777,0.62,2.0,0.0,0.0
152,10757,Scott McKenna,2023,shotPenaltyArea,0.0,1.0,0.0644860491156578,0.0,1.0,0.038559690117836,0.0,0.0644860491156578,0.1,2.0,0.0,0.0
4490,6080,Victor Lindelof,2023,shotPenaltyArea,0.0,1.0,0.06415894627571106,0.0,2.0,0.10967773571610452,0.0,0.06415894627571106,0.17,3.0,0.0,0.0
2135,11728,Calvin Bassey,2023,shotPenaltyArea,0.0,1.0,0.06218461319804192,0.0,0.0,0.0,0.0,0.06218461319804192,0.06,1.0,0.0,
4211,1789,Lewis Cook,2023,shotPenaltyArea,0.0,1.0,0.062157101929187775,0.0,2.0,0.10958281904459,0.0,0.062157101929187775,0.17,3.0,0.0,0.0
439,7699,Adam Webster,2023,shotPenaltyArea,0.0,1.0,0.06010880321264267,0.0,0.0,0.0,0.0,0.06010880321264267,0.06,1.0,0.0,
930,11384,Joao Gomes,2023,shotPenaltyArea,0.0,2.0,0.05919257923960686,0.0,2.0,0.17611023783683777,0.0,0.05919257923960686,0.24,4.0,0.0,0.0
672,11486,Illia Zabarnyi,2023,shotPenaltyArea,0.0,1.0,0.05879367515444755,0.0,0.0,0.0,0.0,0.05879367515444755,0.06,1.0,0.0,
193,1042,Tom Davies,2023,shotPenaltyArea,0.0,1.0,0.05594770610332489,0.0,0.0,0.0,0.0,0.05594770610332489,0.06,1.0,0.0,
3871,9324,Facundo Pellistri,2023,shotPenaltyArea,0.0,1.0,0.055012840777635574,1.0,1.0,0.07077087461948395,0.0,0.055012840777635574,0.13,2.0,0.0,1.0
