minute,player,team,xG,PSxG,outcome,distance,body_part,notes,SCA 1,SCA 1,SCA 2,SCA 2,opponent
7,Ashley Young,Everton,0.07,,Blocked,13.0,Right Foot,,Idrissa Gana Gueye,Shot,,,Newcastle Utd
7,Jarrad Branthwaite,Everton,0.2,,Off Target,6.0,Head,,Dwight McNeil,Pass (Dead),Ashley Young,Shot,Newcastle Utd
8,Jack Harrison,Everton,0.1,,Blocked,7.0,Right Foot,Volley,Dominic Calvert-Lewin,Pass (Live),,,Newcastle Utd
8,James Tarkowski,Everton,0.02,,Off Target,31.0,Right Foot,,Abdoulaye Doucouré,Pass (Live),Idrissa Gana Gueye,Pass (Live),Newcastle Utd
14,Kieran Trippier,Newcastle Utd,0.06,0.35,Saved,27.0,Right Foot,Free kick,Valentino Livramento,Fouled,Anthony Gordon,Pass (Live),Everton
17,Miguel Almiron,Newcastle Utd,0.18,0.2,Saved,13.0,Left Foot,,Joelinton,Pass (Live),Joelinton,Pass (Live),Everton
18,Dominic Calvert-Lewin,Everton,0.25,,Off Target,8.0,Head,,Jack Harrison,Pass (Live),Ashley Young,Pass (Live),Newcastle Utd
19,Abdoulaye Doucoure,Everton,0.08,,Off Target,10.0,Head,,Ashley Young,Pass (Live),Abdoulaye Doucouré,Pass (Live),Newcastle Utd
19,Dominic Calvert-Lewin,Everton,0.19,0.31,Saved,5.0,Head,,Dwight McNeil,Pass (Live),Abdoulaye Doucouré,Shot,Newcastle Utd
20,Dominic Calvert-Lewin,Everton,0.09,0.22,Saved,13.0,Right Foot,,Jack Harrison,Pass (Live),Jack Harrison,Take-On,Newcastle Utd
29,Miguel Almiron,Newcastle Utd,0.02,,Off Target,20.0,Left Foot,Volley,Anthony Gordon,Fouled,Kieran Trippier,Pass (Live),Everton
31,Dwight McNeil,Everton,0.14,,Off Target,14.0,Left Foot,,Jack Harrison,Pass (Live),Dwight McNeil,Interception,Newcastle Utd
31,Bruno Guimaraes,Newcastle Utd,0.08,,Blocked,15.0,Right Foot,,Anthony Gordon,Pass (Live),Lewis Miley,Pass (Live),Everton
36,Alexander Isak,Newcastle Utd,0.2,,Off Target,10.0,Head,,Kieran Trippier,Pass (Live),Joelinton,Pass (Live),Everton
39,Dominic Calvert-Lewin,Everton,0.82,,Off Target,5.0,Left Foot,Volley,Jarrad Branthwaite,Pass (Live),Jordan Pickford,Pass (Dead),Newcastle Utd
50,Dominic Calvert-Lewin,Everton,0.15,0.05,Saved,6.0,Head,Deflected,Dwight McNeil,Pass (Dead),,,Newcastle Utd
55,Anthony Gordon,Newcastle Utd,0.02,,Off Target,26.0,Right Foot,,Joelinton,Pass (Live),Joelinton,Take-On,Everton
58,Lewis Miley,Newcastle Utd,0.03,,Off Target,26.0,Right Foot,,Anthony Gordon,Pass (Live),Bruno Guimarães,Tackle,Everton
62,Anthony Gordon,Newcastle Utd,0.23,0.09,Saved,18.0,Right Foot,,Anthony Gordon,Tackle,,,Everton
63,Dominic Calvert-Lewin,Everton,0.07,,Off Target,5.0,Head,,Dominic Calvert-Lewin,Pass (Live),Idrissa Gana Gueye,Pass (Live),Newcastle Utd
65,Anthony Gordon,Newcastle Utd,0.07,,Off Target,29.0,Right Foot,,Alexander Isak,Pass (Live),Alexander Isak,Take-On,Everton
67,Idrissa Gana Gueye,Everton,0.07,,Off Target,24.0,Left Foot,,Abdoulaye Doucouré,Pass (Live),Dominic Calvert-Lewin,Pass (Live),Newcastle Utd
69,Fabian Schar,Newcastle Utd,0.01,,Blocked,33.0,Right Foot,,Kieran Trippier,Pass (Live),Anthony Gordon,Pass (Live),Everton
75,Abdoulaye Doucoure,Everton,0.09,,Blocked,10.0,Head,,Ashley Young,Pass (Live),Idrissa Gana Gueye,Pass (Live),Newcastle Utd
79,Dwight McNeil,Everton,0.08,0.1,Goal,16.0,Left Foot,Deflected,,,,,Newcastle Utd
82,Lewis Miley,Newcastle Utd,0.09,,Blocked,14.0,Right Foot,Volley,Valentino Livramento,Pass (Live),Bruno Guimarães,Pass (Live),Everton
82,Miguel Almiron,Newcastle Utd,0.34,,Off Target,6.0,Head,,Lewis Miley,Shot,,,Everton
85,Jack Harrison,Everton,0.06,,Blocked,21.0,Right Foot,,James Tarkowski,Pass (Live),Jordan Pickford,Pass (Dead),Newcastle Utd
86,Abdoulaye Doucoure,Everton,0.37,0.57,Goal,14.0,Right Foot,,Jack Harrison,Pass (Live),,,Newcastle Utd
90+1,Alexander Isak,Newcastle Utd,0.26,,Off Target,16.0,Right Foot,,Joelinton,Pass (Live),Joelinton,Take-On,Everton
90+6,Beto,Everton,0.33,0.56,Goal,9.0,Right Foot,,Nathan Patterson,Pass (Live),James Tarkowski,Pass (Live),Newcastle Utd
11,Cristian Romero,Tottenham,0.05,0.55,Goal,11.0,Head,,Pedro Porro,Pass (Dead),,,West Ham
15,Brennan Johnson,Tottenham,0.19,,Blocked,15.0,Right Foot,,Dejan Kulusevski,Pass (Live),Pedro Porro,Pass (Live),West Ham
16,Pedro Porro,Tottenham,0.04,,Blocked,20.0,Left Foot,,Cristian Romero,Pass (Live),Dejan Kulusevski,Pass (Live),West Ham
17,Son Heung-min,Tottenham,0.1,0.03,Saved,23.0,Right Foot,,Dejan Kulusevski,Pass (Live),Ben Davies,Pass (Live),West Ham
18,Emerson Palmieri,West Ham,0.01,,Blocked,27.0,Left Foot,,Lucas Paquetá,Pass (Live),Emerson Palmieri,Pass (Live),Tottenham
19,Kurt Zouma,West Ham,0.21,,Off Target,3.0,Head,,Kudus Mohammed,Pass (Live),Kudus Mohammed,Take-On,Tottenham
21,Giovani Lo Celso,Tottenham,0.05,,Off Target,25.0,Left Foot,,Brennan Johnson,Pass (Live),Pierre Højbjerg,Pass (Live),West Ham
22,Giovani Lo Celso,Tottenham,0.04,,Blocked,22.0,Left Foot,,Son Heung-min,Pass (Live),,,West Ham
25,Kudus Mohammed,West Ham,0.02,0.19,Saved,29.0,Right Foot,Deflected,,,,,Tottenham
26,Pedro Porro,Tottenham,0.02,,Off Target,27.0,Right Foot,,Brennan Johnson,Pass (Live),Brennan Johnson,Take-On,West Ham
35,Giovani Lo Celso,Tottenham,0.09,0.07,Saved,17.0,Left Foot,Volley,Pedro Porro,Pass (Live),Pedro Porro,Pass (Dead),West Ham
37,Brennan Johnson,Tottenham,0.13,0.04,Saved,12.0,Left Foot,,Giovani Lo Celso,Pass (Live),Ben Davies,Pass (Live),West Ham
40,Dejan Kulusevski,Tottenham,0.05,,Blocked,17.0,Left Foot,,Cristian Romero,Pass (Live),Yves Bissouma,Pass (Live),West Ham
40,Yves Bissouma,Tottenham,0.18,,Off Target,18.0,Left Foot,,Dejan Kulusevski,Shot,,,West Ham
44,Lucas Paqueta,West Ham,0.09,,Off Target,9.0,Head,,Kudus Mohammed,Pass (Live),Vladimír Coufal,Pass (Live),Tottenham
45+1,Brennan Johnson,Tottenham,0.04,0.03,Saved,17.0,Right Foot,,Pedro Porro,Pass (Live),Pierre Højbjerg,Pass (Live),West Ham
45+3,Cristian Romero,Tottenham,0.22,,Off Target,5.0,Head,,Pedro Porro,Pass (Dead),,,West Ham
48,Pedro Porro,Tottenham,0.02,,Off Target,21.0,Right Foot,,Giovani Lo Celso,Pass (Live),Pedro Porro,Pass (Live),West Ham
52,Kudus Mohammed,West Ham,0.02,,Blocked,31.0,Left Foot,,Jarrod Bowen,Pass (Live),Lucas Paquetá,Pass (Live),Tottenham
52,Jarrod Bowen,West Ham,0.49,0.88,Goal,9.0,Right Foot,,Kudus Mohammed,Shot,,,Tottenham
56,Lucas Paqueta,West Ham,0.05,0.3,Saved,16.0,Left Foot,,James Ward-Prowse,Pass (Live),Jarrod Bowen,Pass (Live),Tottenham
58,Yves Bissouma,Tottenham,0.04,,Blocked,21.0,Right Foot,,Giovani Lo Celso,Pass (Dead),Pedro Porro,Fouled,West Ham
61,Nayef Aguerd,West Ham,0.03,,Off Target,10.0,Head,,Emerson Palmieri,Pass (Live),James Ward-Prowse,Pass (Dead),Tottenham
70,Richarlison,Tottenham,0.25,,Off Target,8.0,Head,,Pedro Porro,Pass (Live),Yves Bissouma,Pass (Live),West Ham
73,Pedro Porro,Tottenham,0.04,0.29,Saved,15.0,Right Foot,,Yves Bissouma,Pass (Live),Son Heung-min,Pass (Live),West Ham
73,Brennan Johnson,Tottenham,0.03,,Off Target,9.0,Right Foot,,Dejan Kulusevski,Pass (Live),Pedro Porro,Pass (Dead),West Ham
74,James Ward-Prowse,West Ham,0.18,,Woodwork,21.0,Left Foot,,,,,,Tottenham
74,James Ward-Prowse,West Ham,0.93,0.87,Goal,8.0,Left Foot,,James Ward-Prowse,Shot,,,Tottenham
77,Brennan Johnson,Tottenham,0.05,,Off Target,12.0,Right Foot,Volley,Ben Davies,Pass (Live),Yves Bissouma,Pass (Live),West Ham
87,Nayef Aguerd,West Ham,0.37,0.8,Saved,3.0,Head,,,,,,Tottenham
87,Pape Matar Sarr,Tottenham,0.06,,Off Target,18.0,Right Foot,,Son Heung-min,Pass (Live),Dejan Kulusevski,Pass (Live),West Ham
90+1,Pape Matar Sarr,Tottenham,0.04,,Blocked,25.0,Right Foot,,Bryan Gil,Pass (Live),Dejan Kulusevski,Pass (Live),West Ham
90+4,Pedro Porro,Tottenham,0.05,,Blocked,24.0,Right Foot,Free kick,Pedro Porro,Fouled,Pape Matar Sarr,Pass (Live),West Ham
90+5,Richarlison,Tottenham,0.04,,Off Target,11.0,Head,,Pedro Porro,Pass (Dead),Pedro Porro,Shot,West Ham
1,Kai Havertz,Arsenal,0.02,,Blocked,15.0,Left Foot,,Kai Havertz,Pass (Live),Gabriel Martinelli,Pass (Live),Aston Villa
5,Ollie Watkins,Aston Villa,0.02,,Blocked,18.0,Right Foot,,John McGinn,Pass (Live),Ollie Watkins,Pass (Live),Arsenal
6,Bukayo Saka,Arsenal,0.27,,Off Target,9.0,Right Foot,,Gabriel Martinelli,Pass (Live),Bukayo Saka,Pass (Live),Aston Villa
7,John McGinn,Aston Villa,0.14,0.22,Goal,9.0,Left Foot,Deflected,Leon Bailey,Pass (Live),Youri Tielemans,Pass (Live),Arsenal
16,Bukayo Saka,Arsenal,0.07,,Blocked,13.0,Left Foot,,Kai Havertz,Pass (Live),Kai Havertz,Tackle,Aston Villa
23,Lucas Digne,Aston Villa,0.05,,Blocked,29.0,Left Foot,Free kick,Youri Tielemans,Fouled,John McGinn,Pass (Live),Arsenal
23,Douglas Luiz,Aston Villa,0.01,,Blocked,29.0,Left Foot,Volley,Lucas Digne,Shot,,,Arsenal
32,Bukayo Saka,Arsenal,0.03,0.11,Saved,15.0,Left Foot,,Martin Ødegaard,Pass (Live),Declan Rice,Pass (Live),Aston Villa
32,Ollie Watkins,Aston Villa,0.03,,Saved off Target,25.0,Right Foot,,Emiliano Martínez,Pass (Live),,,Arsenal
33,Martin Odegaard,Arsenal,0.02,,Off Target,21.0,Left Foot,,Bukayo Saka,Pass (Live),Ben White,Pass (Live),Aston Villa
36,Gabriel Martinelli,Arsenal,0.22,,Blocked,18.0,Right Foot,,Gabriel Dos Santos,Pass (Live),William Saliba,Pass (Live),Aston Villa
39,Martin Odegaard,Arsenal,0.18,0.31,Saved,14.0,Left Foot,,Gabriel Jesus,Pass (Live),Kai Havertz,Pass (Live),Aston Villa
42,Gabriel Jesus,Arsenal,0.04,0.35,Saved,14.0,Right Foot,,Oleksandr Zinchenko,Pass (Live),Gabriel Dos Santos,Pass (Dead),Aston Villa
57,William Saliba,Arsenal,0.32,,Blocked,2.0,Right Foot,Volley,Declan Rice,Pass (Live),William Saliba,Pass (Live),Aston Villa
58,Martin Odegaard,Arsenal,0.12,,Off Target,16.0,Left Foot,,Kai Havertz,Pass (Live),Oleksandr Zinchenko,Pass (Live),Aston Villa
61,Lucas Digne,Aston Villa,0.04,0.08,Saved,15.0,Left Foot,,Moussa Diaby,Pass (Live),John McGinn,Pass (Live),Arsenal
68,Ollie Watkins,Aston Villa,0.15,0.07,Saved,17.0,Right Foot,,Moussa Diaby,Pass (Live),John McGinn,Pass (Live),Arsenal
71,Declan Rice,Arsenal,0.07,,Blocked,25.0,Right Foot,Free kick,Martin Ødegaard,Fouled,Bukayo Saka,Pass (Live),Aston Villa
76,Matty Cash,Aston Villa,0.02,,Off Target,32.0,Right Foot,,,,,,Arsenal
90+5,John McGinn,Aston Villa,0.08,,Blocked,10.0,Left Foot,,Douglas Luiz,Pass (Live),,,Arsenal
90+5,Leander Dendoncker,Aston Villa,0.03,,Blocked,23.0,Left Foot,,Jacob Ramsey,Tackle,,,Arsenal
90+8,Eddie Nketiah,Arsenal,0.05,,Off Target,16.0,Head,,Declan Rice,Pass (Live),Martin Ødegaard,Pass (Live),Aston Villa
8,Wilson Odobert,Burnley,0.06,,Blocked,14.0,Left Foot,,Zeki Amdouni,Pass (Live),Sander Berge,Pass (Live),Brighton
10,Johann Berg Gudmundsson,Burnley,0.04,,Off Target,17.0,Left Foot,,Sander Berge,Pass (Live),Dara O'Shea,Pass (Live),Brighton
15,Pascal Gross,Brighton,0.03,,Blocked,28.0,Right Foot,Free kick,Evan Ferguson,Fouled,Evan Ferguson,Tackle,Burnley
15,Joao Pedro,Brighton,0.01,0.08,Saved,14.0,Head,,Carlos Baleba,Pass (Live),Pascal Groß,Shot,Burnley
19,Zeki Amdouni,Burnley,0.08,0.02,Saved,17.0,Left Foot,,Jóhann Berg Guðmundsson,Pass (Live),Zeki Amdouni,Pass (Live),Brighton
20,Adam Lallana,Brighton,0.04,,Off Target,16.0,Left Foot,,Lewis Dunk,Pass (Live),Mahmoud Dahoud,Pass (Live),Burnley
25,Pascal Gross,Brighton,0.12,,Off Target,8.0,Head,,James Milner,Pass (Live),João Pedro,Pass (Live),Burnley
28,Pascal Gross,Brighton,0.1,0.35,Saved,12.0,Right Foot,,Simon Adingra,Pass (Live),João Pedro,Pass (Live),Burnley
30,Simon Adingra,Brighton,0.11,,Blocked,15.0,Left Foot,,Adam Lallana,Pass (Live),Pascal Groß,Pass (Live),Burnley
34,James Milner,Brighton,0.04,0.21,Saved,18.0,Right Foot,,Evan Ferguson,Pass (Live),,,Burnley
35,Jan Paul van Hecke,Brighton,0.08,,Off Target,11.0,Head,,Simon Adingra,Pass (Live),Pascal Groß,Interception,Burnley
36,Mahmoud Dahoud,Brighton,0.08,,Off Target,24.0,Right Foot,,Pascal Groß,Pass (Live),Adam Lallana,Pass (Live),Burnley
40,Mahmoud Dahoud,Brighton,0.03,,Off Target,29.0,Right Foot,,James Milner,Pass (Live),João Pedro,Pass (Live),Burnley
45,Wilson Odobert,Burnley,0.05,0.2,Goal,22.0,Right Foot,Deflected,Jay Rodriguez,Pass (Live),Sander Berge,Pass (Live),Brighton
48,Billy Gilmour,Brighton,0.04,,Blocked,26.0,Right Foot,,Kaoru Mitoma,Pass (Live),João Pedro,Pass (Live),Burnley
49,Jay Rodriguez,Burnley,0.29,0.88,Saved,3.0,Left Foot,,Wilson Odobert,Take-On,Josh Brownhill,Pass (Live),Brighton
49,Jay Rodriguez,Burnley,0.08,,Blocked,5.0,Right Foot,,Jay Rodriguez,Shot,,,Brighton
56,Joao Pedro,Brighton,0.06,,Blocked,14.0,Right Foot,,James Milner,Pass (Live),Jan Paul van Hecke,Pass (Live),Burnley
63,Kaoru Mitoma,Brighton,0.05,,Off Target,18.0,Right Foot,,Simon Adingra,Pass (Live),Simon Adingra,Pass (Live),Burnley
64,Evan Ferguson,Brighton,0.1,,Off Target,9.0,Head,,Jan Paul van Hecke,Pass (Live),Billy Gilmour,Pass (Live),Burnley
70,Joao Pedro,Brighton,0.25,0.09,Saved,8.0,Head,,Kaoru Mitoma,Pass (Live),João Pedro,Pass (Live),Burnley
74,Simon Adingra,Brighton,0.17,0.61,Saved,5.0,Right Foot,Volley,João Pedro,Pass (Live),Pascal Groß,Pass (Live),Burnley
74,Joao Pedro,Brighton,0.04,,Off Target,8.0,Head,,Pascal Groß,Pass (Dead),Simon Adingra,Shot,Burnley
77,Kaoru Mitoma,Brighton,0.04,,Blocked,15.0,Right Foot,,Lewis Dunk,Pass (Live),Jan Paul van Hecke,Pass (Live),Burnley
77,Simon Adingra,Brighton,0.34,0.87,Goal,6.0,Head,,Pascal Groß,Pass (Live),Igor,Pass (Live),Burnley
87,Pascal Gross,Brighton,0.06,0.31,Saved,29.0,Right Foot,Free kick,Facundo Buonanotte,Fouled,Evan Ferguson,Pass (Live),Burnley
90+1,Jack Hinshelwood,Brighton,0.33,0.81,Saved,5.0,Right Foot,,Jack Hinshelwood,Shot,,,Burnley
90+1,Jack Hinshelwood,Brighton,0.17,,Blocked,8.0,Other,,Pascal Groß,Pass (Live),Kaoru Mitoma,Pass (Live),Burnley
90+2,Jack Hinshelwood,Brighton,0.14,,Off Target,9.0,Head,,Kaoru Mitoma,Pass (Live),Pascal Groß,Pass (Live),Burnley
90+4,Jack Hinshelwood,Brighton,0.04,0.34,Saved,11.0,Head,,Simon Adingra,Pass (Live),Billy Gilmour,Pass (Live),Burnley
90+5,Billy Gilmour,Brighton,0.02,,Off Target,20.0,Right Foot,Volley,Jack Hinshelwood,Shot,,,Burnley
90+6,Evan Ferguson,Brighton,0.08,0.03,Saved,10.0,Head,,Pascal Groß,Pass (Live),Kaoru Mitoma,Pass (Live),Burnley
90+7,Kaoru Mitoma,Brighton,0.12,0.3,Saved,11.0,Right Foot,Volley,Billy Gilmour,Pass (Live),Simon Adingra,Pass (Live),Burnley
90+8,Kaoru Mitoma,Brighton,0.05,,Off Target,13.0,Right Foot,,Pascal Groß,Pass (Live),Simon Adingra,Pass (Dead),Burnley
90+8,Kaoru Mitoma,Brighton,0.04,,Blocked,13.0,Left Foot,,Simon Adingra,Pass (Live),Jan Paul van Hecke,Pass (Live),Burnley
3,Kostas Tsimikas,Liverpool,0.02,,Off Target,30.0,Left Foot,,,,,,Crystal Palace
15,Luis Diaz,Liverpool,0.02,,Blocked,26.0,Right Foot,,Kostas Tsimikas,Pass (Live),Darwin Núñez,Pass (Live),Crystal Palace
16,Dominik Szoboszlai,Liverpool,0.01,,Off Target,31.0,Right Foot,,Trent Alexander-Arnold,Pass (Live),Dominik Szoboszlai,Pass (Live),Crystal Palace
16,Ryan Gravenberch,Liverpool,0.02,,Blocked,18.0,Right Foot,,Luis Díaz,Pass (Live),Kostas Tsimikas,Pass (Live),Crystal Palace
27,Jefferson Lerma,Crystal Palace,0.5,0.47,Saved,11.0,Right Foot,,Jordan Ayew,Pass (Live),Jeffrey Schlupp,Pass (Live),Liverpool
45+2,Mohamed Salah,Liverpool,0.11,,Blocked,13.0,Right Foot,,Trent Alexander-Arnold,Pass (Live),Dominik Szoboszlai,Pass (Live),Crystal Palace
45+2,Dominik Szoboszlai,Liverpool,0.11,,Blocked,16.0,Left Foot,,Mohamed Salah,Shot,,,Crystal Palace
48,Luis Diaz,Liverpool,0.03,,Off Target,23.0,Right Foot,,Trent Alexander-Arnold,Pass (Live),Dominik Szoboszlai,Pass (Live),Crystal Palace
48,Darwin Nunez,Liverpool,0.2,,Off Target,10.0,Head,,Luis Díaz,Shot,,,Crystal Palace
50,Jefferson Lerma,Crystal Palace,0.02,,Off Target,14.0,Head,,Will Hughes,Pass (Dead),Jeffrey Schlupp,Fouled,Liverpool
53,Jefferson Lerma,Crystal Palace,0.01,,Off Target,16.0,Head,,Will Hughes,Pass (Dead),,,Liverpool
57,Jean-Philippe Mateta (pen),Crystal Palace,0.79,0.97,Goal,13.0,Right Foot,,Jean-Philippe Mateta,Fouled,Will Hughes,Pass (Live),Liverpool
61,Jeffrey Schlupp,Crystal Palace,0.06,0.02,Saved,25.0,Right Foot,,Jean-Philippe Mateta,Pass (Live),Jefferson Lerma,Pass (Live),Liverpool
62,Mohamed Salah,Liverpool,0.09,,Blocked,14.0,Right Foot,,Joe Gomez,Pass (Live),Cody Gakpo,Pass (Live),Crystal Palace
70,Virgil van Dijk,Liverpool,0.15,,Off Target,7.0,Head,,Trent Alexander-Arnold,Pass (Dead),,,Crystal Palace
71,Darwin Nunez,Liverpool,0.29,,Off Target,6.0,Right Foot,Volley,Trent Alexander-Arnold,Pass (Dead),Cody Gakpo,Fouled,Crystal Palace
72,Jeffrey Schlupp,Crystal Palace,0.02,,Blocked,28.0,Left Foot,,Will Hughes,Pass (Live),Chris Richards,Interception,Liverpool
76,Mohamed Salah,Liverpool,0.14,0.15,Goal,14.0,Left Foot,Deflected,Curtis Jones,Pass (Live),Joe Gomez,Pass (Live),Crystal Palace
88,Harvey Elliott,Liverpool,0.04,,Off Target,12.0,Right Foot,,Trent Alexander-Arnold,Pass (Live),Harvey Elliott,Pass (Live),Crystal Palace
90+1,Harvey Elliott,Liverpool,0.04,0.15,Goal,23.0,Left Foot,,Mohamed Salah,Pass (Live),Joe Gomez,Pass (Live),Crystal Palace
90+10,Joachim Andersen,Crystal Palace,0.21,0.18,Saved,8.0,Head,,Michael Olise,Pass (Dead),Michael Olise,Fouled,Liverpool
90+11,Jean-Philippe Mateta,Crystal Palace,0.14,,Blocked,8.0,Head,,Michael Olise,Pass (Dead),Joachim Andersen,Shot,Liverpool
3,Diogo Dalot,Manchester Utd,0.12,,Off Target,15.0,Right Foot,Volley,Bruno Fernandes,Pass (Live),Anthony Martial,Pass (Live),Bournemouth
3,Sergio Reguilon,Manchester Utd,0.12,,Blocked,10.0,Right Foot,Volley,Diogo Dalot,Shot,,,Bournemouth
5,Dominic Solanke,Bournemouth,0.25,0.74,Goal,8.0,Right Foot,,Lewis Cook,Pass (Live),Lewis Cook,Interception,Manchester Utd
8,Harry Maguire,Manchester Utd,0.04,0.06,Saved,11.0,Head,,Sergio Reguilón,Pass (Live),Diogo Dalot,Pass (Live),Bournemouth
13,Scott McTominay,Manchester Utd,0.04,,Blocked,21.0,Right Foot,,Alejandro Garnacho,Pass (Live),Anthony Martial,Pass (Live),Bournemouth
14,Harry Maguire,Manchester Utd,0.02,,Blocked,13.0,Head,,Bruno Fernandes,Pass (Dead),Scott McTominay,Shot,Bournemouth
14,Scott McTominay,Manchester Utd,0.14,,Blocked,11.0,Right Foot,,Diogo Dalot,Pass (Live),Bruno Fernandes,Pass (Live),Bournemouth
16,Marcus Tavernier,Bournemouth,0.08,0.09,Saved,15.0,Right Foot,,Marcos Senesi,Pass (Live),Lewis Cook,Pass (Live),Manchester Utd
28,Illia Zabarnyi,Bournemouth,0.07,,Off Target,9.0,Head,,Marcus Tavernier,Pass (Dead),,,Manchester Utd
28,Dominic Solanke,Bournemouth,0.03,,Off Target,9.0,Head,,Lewis Cook,Pass (Dead),Illia Zabarnyi,Shot,Manchester Utd
35,Marcus Tavernier,Bournemouth,0.02,,Off Target,32.0,Left Foot,,Marcus Tavernier,Take-On,Antoine Semenyo,Pass (Live),Manchester Utd
36,Anthony Martial,Manchester Utd,0.04,0.08,Saved,23.0,Left Foot,,Bruno Fernandes,Pass (Live),Anthony Martial,Pass (Live),Bournemouth
39,Dominic Solanke,Bournemouth,0.07,,Woodwork,14.0,Right Foot,,Lewis Cook,Pass (Live),Lewis Cook,Take-On,Manchester Utd
45+1,Alejandro Garnacho,Manchester Utd,0.02,,Blocked,18.0,Right Foot,,Bruno Fernandes,Pass (Live),,,Bournemouth
45+1,Dominic Solanke,Bournemouth,0.1,,Blocked,17.0,Right Foot,,Antoine Semenyo,Pass (Live),Dominic Solanke,Pass (Live),Manchester Utd
48,Alejandro Garnacho,Manchester Utd,0.05,,Blocked,15.0,Right Foot,,Anthony Martial,Pass (Live),Diogo Dalot,Pass (Live),Bournemouth
49,Scott McTominay,Manchester Utd,0.08,,Blocked,16.0,Right Foot,,Antony,Pass (Live),Sergio Reguilón,Pass (Live),Bournemouth
49,Bruno Fernandes,Manchester Utd,0.06,,Blocked,18.0,Right Foot,,Scott McTominay,Shot,,,Bournemouth
49,Alejandro Garnacho,Manchester Utd,0.01,,Blocked,23.0,Right Foot,,Bruno Fernandes,Pass (Dead),Bruno Fernandes,Shot,Bournemouth
57,Scott McTominay,Manchester Utd,0.05,,Off Target,10.0,Head,,Sergio Reguilón,Pass (Dead),Sofyan Amrabat,Pass (Live),Bournemouth
61,Scott McTominay,Manchester Utd,0.04,0.04,Saved,12.0,Head,,Antony,Pass (Live),Harry Maguire,Pass (Live),Bournemouth
65,Rasmus Hojlund,Manchester Utd,0.04,,Off Target,16.0,Left Foot,,Bruno Fernandes,Pass (Live),Rasmus Højlund,Pass (Live),Bournemouth
65,Antony,Manchester Utd,0.06,,Blocked,13.0,Left Foot,,Rasmus Højlund,Shot,,,Bournemouth
67,Diogo Dalot,Manchester Utd,0.04,,Off Target,12.0,Right Foot,,Antony,Pass (Live),Diogo Dalot,Pass (Live),Bournemouth
68,Philip Billing,Bournemouth,0.32,0.9,Goal,6.0,Other,,Marcus Tavernier,Pass (Live),Dominic Solanke,Pass (Live),Manchester Utd
70,Scott McTominay,Manchester Utd,0.11,,Off Target,5.0,Left Foot,,Alejandro Garnacho,Pass (Live),Bruno Fernandes,Pass (Live),Bournemouth
73,Marcos Senesi,Bournemouth,0.11,0.39,Goal,9.0,Head,,Marcus Tavernier,Pass (Dead),Marcus Tavernier,Fouled,Manchester Utd
76,Scott McTominay,Manchester Utd,0.05,,Blocked,21.0,Right Foot,,Rasmus Højlund,Tackle,,,Bournemouth
78,Alejandro Garnacho,Manchester Utd,0.02,,Blocked,26.0,Right Foot,,Bruno Fernandes,Pass (Live),Luke Shaw,Pass (Live),Bournemouth
85,Dominic Solanke,Bournemouth,0.42,,Off Target,9.0,Right Foot,,Philip Billing,Pass (Live),Philip Billing,Take-On,Manchester Utd
2,Auston Trusty,Sheffield Utd,0.03,,Blocked,28.0,Left Foot,,Cameron Archer,Pass (Live),Gustavo Hamer,Pass (Live),Brentford
36,Frank Onyeka,Brentford,0.04,0.02,Saved,29.0,Right Foot,,Frank Onyeka,Take-On,,,Sheffield Utd
37,Frank Onyeka,Brentford,0.07,,Off Target,21.0,Left Foot,,Neal Maupay,Pass (Live),Neal Maupay,Take-On,Sheffield Utd
37,William Osula,Sheffield Utd,0.06,,Off Target,17.0,Right Foot,,Gustavo Hamer,Pass (Live),Vinicius Souza,Pass (Live),Brentford
41,Gustavo Hamer,Sheffield Utd,0.02,,Off Target,32.0,Right Foot,,Cameron Archer,Pass (Live),James Mcatee,Pass (Live),Brentford
45,Neal Maupay,Brentford,0.07,,Blocked,15.0,Right Foot,,Vitaly Janelt,Pass (Live),Ben Mee,Pass (Live),Sheffield Utd
45+1,James Mcatee,Sheffield Utd,0.03,0.63,Goal,21.0,Left Foot,,Gustavo Hamer,Pass (Live),,,Brentford
45+4,Christian Norgaard,Brentford,0.09,,Blocked,17.0,Left Foot,,Keane Lewis-Potter,Pass (Live),Frank Onyeka,Pass (Live),Sheffield Utd
56,Anis Ben Slimane,Sheffield Utd,0.35,0.16,Saved,10.0,Left Foot,,Cameron Archer,Pass (Live),,,Brentford
59,Anis Ben Slimane,Sheffield Utd,0.02,0.05,Saved,29.0,Right Foot,,Cameron Archer,Pass (Live),Anel Ahmedhodžić,Pass (Live),Brentford
68,Ethan Pinnock,Brentford,0.07,,Off Target,15.0,Left Foot,Volley,Michael Olakigbe,Take-On,Vitaly Janelt,Pass (Live),Sheffield Utd
68,Christian Norgaard,Brentford,0.05,,Off Target,17.0,Right Foot,Volley,Ethan Pinnock,Shot,,,Sheffield Utd
68,Yoane Wissa,Brentford,0.1,0.14,Saved,9.0,Head,,Vitaly Janelt,Pass (Live),Christian Nørgaard,Pass (Live),Sheffield Utd
80,Yoane Wissa,Brentford,0.06,0.16,Saved,17.0,Right Foot,Volley,Christian Nørgaard,Pass (Dead),Michael Olakigbe,Pass (Live),Sheffield Utd
