Player,Team,Position,GW,FPts,started,Opponent,Home,FP/G,ROS Rank,RkOv,G,KP,AT,SOT,TkW,DIS,YC,RC,ACNC,Int,CLR,CoS,BS,AER,PKM,PKD,OG,GAO,CS,Team_long,Ros %,GP,Min,FPts/Start
Tom Lockyer,LUT,D,1,4.75,1.0,BHA,False,4.75,200,210,0,0,0,0,1,0,0,0,0,2,3,1,0,2,0,0,0,1,0,Luton Town,19%,1,90,1.8
Vitalii Mykolenko,EVE,D,1,4.75,,,,4.75,200,215,0,0,0,0,4,0,0,0,0,1,3,0,1,0,0,0,0,1,0,,12%,1,90,inf
Enzo Fernandez,CHE,M,1,4.5,1.0,LIV,True,4.5,94,134,0,0,0,1,0,0,0,0,0,1,2,0,0,1,0,0,0,0,1,Chelsea,96%,1,80,6.0
Dominic Solanke,BOU,F,1,4.5,1.0,WHU,True,4.5,61,36,0,0,0,1,0,2,0,0,0,1,0,2,0,1,0,0,0,0,1,Bournemouth,94%,1,90,10.2
Harry Wilson,FUL,M,1,4.5,1.0,EVE,False,4.5,200,198,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Fulham,48%,1,80,3.9
Lisandro Martinez,MUN,D,1,4.5,1.0,WOL,True,4.5,200,363,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,3,0,Manchester Utd,48%,1,84,0.4
Joao Palhinha,FUL,M,1,4.5,,,,4.5,200,207,0,0,0,0,1,1,0,0,0,1,0,0,0,4,0,0,0,0,1,,47%,1,90,inf
Ezri Konsa,AVL,D,1,4.5,1.0,NEW,False,4.5,200,192,0,0,0,0,1,0,0,0,0,1,2,0,1,3,0,0,0,1,0,Aston Villa,19%,1,90,4.2
Jean-Ricner Bellegarde,WOL,M,1,4.5,,,,4.5,200,424,0,1,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,1,0,,6%,1,76,
Mads Andersen,LUT,D,1,4.5,,,,4.5,200,174,0,0,0,0,0,0,0,0,0,3,2,0,1,2,0,0,0,1,0,,4%,1,90,inf
Rayan Ait-Nouri,WOL,D,1,4.5,,,,4.5,200,250,0,0,0,0,2,1,0,0,0,2,4,1,1,0,0,0,0,1,0,,3%,1,64,inf
Adam Lallana,BHA,M,1,4.5,,,,4.5,200,317,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,,1%,1,63,inf
Ibrahima Konate,LIV,D,1,4.25,1.0,CHE,False,4.25,122,260,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Liverpool,68%,1,6,2.4
Joseph Gomez,LIV,D,1,4.25,,,,4.25,200,145,0,1,0,0,1,1,0,0,2,1,3,0,0,0,0,0,0,1,0,,34%,1,90,inf
Dominic Calvert-Lewin,EVE,F,1,4.0,,,,4.0,73,156,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,,72%,1,23,inf
Ansu Fati,BHA,F,1,4.0,,,,4.0,112,246,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,70%,1,25,inf
Josh Brownhill,BUR,M,1,4.0,0.0,MCI,True,4.0,124,169,0,0,0,0,2,1,0,0,0,2,2,0,0,1,0,0,0,1,0,Burnley,57%,1,90,inf
Harvey Barnes,NEW,M,1,4.0,0.0,AVL,True,4.0,74,193,0,0,0,0,0,3,0,0,0,1,0,3,0,1,0,0,0,0,1,Newcastle Utd,53%,1,82,inf
