Player,Team,Position,FPTS,MIN,GS,LiveRkOv,G,A,PTS,S,SOT,FC,FS,YC,RC,DPT,OFF,PKG,CS,90s,FPts/90
James Tomkins,CRY,D,0.0,1,0,683.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.0
James Ward-Prowse,WHU,M,107.0,620,7,13.0,2,3,5,9,6,4,6,1,0,7,0,0,1,6.89,15.53
Jan-Paul van Hecke,BHA,D,19.75,296,3,246.75,0,0,0,1,1,0,1,1,0,3,0,0,0,3.29,6.0
Jarell Quansah,LIV,D,7.5,112,1,315.0,0,0,0,0,0,1,0,0,0,1,0,0,0,1.24,6.05
Jarrad Branthwaite,EVE,D,37.5,540,6,190.5,0,0,0,3,1,10,3,3,0,19,1,0,1,6.0,6.25
Jarrod Bowen,WHU,M,109.0,718,8,11.12,5,1,6,23,11,4,9,1,0,7,7,0,1,7.98,13.66
Jay Rodriguez,BUR,F,3.0,64,0,362.0,0,0,0,5,0,2,0,0,0,2,2,0,0,0.71,4.23
Jayden Bogle,SHU,D,23.5,316,4,237.6,1,0,1,3,1,6,3,0,0,6,3,0,0,3.51,6.7
Jean-Philippe Mateta,CRY,F,29.0,299,2,188.17,0,3,3,3,2,4,2,0,0,4,1,0,2,3.32,8.73
Jean-Ricner Bellegarde,WOL,M,0.0,114,2,426.0,0,0,0,1,0,2,2,0,1,8,0,0,0,1.27,0.0
Jefferson Lerma,CRY,M,38.5,360,4,130.0,0,0,0,4,2,4,3,0,0,4,0,0,1,4.0,9.62
Jeffrey Schlupp,CRY,M,41.0,564,8,124.62,0,0,0,7,3,8,8,0,0,8,0,0,3,6.27,6.54
Jeremy Doku,MCI,F,56.0,324,4,87.8,1,0,1,9,3,2,12,1,0,5,1,0,0,3.6,15.56
Jesurun Rak-Sakyi,CRY,M,10.0,71,0,348.0,0,0,0,3,0,0,3,0,0,0,0,0,1,0.79,12.66
Jhon Duran,AVL,F,25.5,63,0,195.0,2,0,2,5,3,6,0,2,0,12,0,0,0,0.7,36.43
Joachim Andersen,CRY,D,125.0,720,8,8.75,2,0,2,7,4,7,10,0,0,7,0,0,4,8.0,15.62
Joao Gomes,WOL,M,31.5,624,8,158.38,0,0,0,6,0,17,11,3,0,26,0,0,1,6.93,4.55
Joao Palhinha,FUL,M,31.0,472,5,202.33,1,0,1,7,1,7,8,3,0,16,1,0,2,5.24,5.92
Joao Pedro,BHA,F,69.0,408,3,45.38,2,1,3,14,3,3,20,1,0,6,3,1,0,4.53,15.23
Joe Rothwell,BOU,M,14.0,269,3,274.8,0,0,0,1,0,4,1,0,0,4,0,0,0,2.99,4.68
Joe Worrall,NOT,D,19.75,424,5,232.0,0,0,0,2,0,3,1,0,1,9,0,0,1,4.71,4.19
Joel Matip,LIV,D,28.5,508,6,197.67,0,0,0,3,0,3,2,0,0,3,1,0,1,5.64,5.05
Joel Veltman,BHA,D,18.0,509,5,228.88,0,1,1,1,1,8,18,1,0,11,0,0,0,5.66,3.18
Joel Ward,CRY,D,32.5,622,7,158.0,0,0,0,3,0,7,4,3,0,16,0,0,3,6.91,4.7
Joelinton,NEW,M,26.0,287,4,189.0,0,0,0,4,2,10,1,1,0,13,0,0,0,3.19,8.15
Johann Gudmundsson,BUR,M,19.0,171,3,234.0,0,1,1,0,0,2,4,1,0,5,0,0,0,1.9,10.0
John Egan,SHU,D,8.25,482,6,309.0,0,0,0,3,1,6,1,2,0,12,0,0,0,5.36,1.54
John McGinn,AVL,M,61.0,657,8,91.0,1,1,2,6,2,13,13,2,0,19,0,0,2,7.3,8.36
John Stones,MCI,D,-2.0,21,0,680.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23,-8.7
Jonny,WOL,D,1.0,3,0,384.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,33.33
Jonny Evans,MUN,D,25.0,183,2,233.33,0,1,1,0,0,1,5,0,0,1,0,0,1,2.03,12.32
Jordan Ayew,CRY,F,59.0,654,8,68.38,0,2,2,15,5,13,29,2,0,19,2,0,4,7.27,8.12
Jordan Beyer,BUR,D,15.0,502,6,256.0,0,0,0,0,0,4,3,3,0,13,0,0,0,5.58,2.69
Jorginho,ARS,M,3.0,143,1,357.17,0,0,0,0,0,1,2,1,0,4,0,0,1,1.59,1.89
Joseph Gomez,LIV,D,36.5,421,4,148.29,0,0,0,2,0,5,7,1,0,8,0,0,1,4.68,7.8
Josh Brownhill,BUR,M,44.0,491,5,131.0,1,0,1,8,1,7,4,1,0,10,1,0,0,5.46,8.06
Josh Cullen,BUR,M,35.5,690,8,143.0,0,1,1,3,0,10,19,3,0,19,0,0,0,7.67,4.63
Josh Dasilva,BRF,M,0.0,9,0,473.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0
Josko Gvardiol,MCI,D,40.25,458,5,141.67,0,0,0,3,2,4,5,1,0,7,0,0,2,5.09,7.91
Julian Alvarez,MCI,F,122.5,661,8,6.38,3,3,6,24,10,8,4,2,0,14,0,0,2,7.34,16.69
Julio Enciso,BHA,F,22.0,67,1,217.0,0,2,2,4,1,0,3,1,0,3,1,0,0,0.74,29.73
Jurrien Timber,ARS,D,0.25,49,1,397.0,0,0,0,0,0,2,0,1,0,5,1,0,0,0.54,0.46
