Player,Team,Position,LiveRkOv,Status (Pilot),Opponent,FPTS,FP/G,GP,GS,MIN,G,KP,AT,SOT,TKW,YC,RC,PEN,ACNC,INT,CLR,BS,DW,DL,LBA,PKM,PKD,OG,GAO,CS,GW,Ghost Points,Negative Fpts,PTS,DPT,OFF,PKG,GPR,Default FPTS,Default Ghosts,Default Negative FPTS,Status (Default),Delta,Delta Ghosts,Delta Negative FPTS
Nathan Patterson,EVE,D,225,W (Thu),EVE 3<br/>@CRY 2 F,0.5,0.5,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,12,0.75,-0.25,0,0,0,0,1.5,0.75,0.75,0.0,W (Thu),-0.25,0.0,-0.25
Wilson Odobert,BUR,F,282,W (Thu),BUR 1<br/>@ARS 3 F,0.5,0.5,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,12,1.0,-0.5,0,0,0,0,2.0,2.0,2.0,0.0,W (Thu),-1.5,-1.0,-0.5
Adam Smith,BOU,D,424,W (Thu),NEW 0<br/>@BOU 2 F,0.5,0.5,1,0,21,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,12,0.75,-0.25,0,0,0,0,1.5,0.25,0.25,0.0,W (Thu),0.25,0.5,-0.25
Michael Obafemi,BUR,F,434,W (Thu),BUR 1<br/>@ARS 3 F,0.5,0.5,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,0.5,0.0,0,0,0,0,1.0,1.0,1.0,0.0,W (Thu),-0.5,-0.5,0.0
Neal Maupay,BRF,F,197,W (Thu),BRF 0<br/>@LIV 3 F,0.25,0.25,1,0,17,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,12,0.5,-0.25,0,0,0,0,2.0,0.0,0.0,0.0,W (Thu),0.25,0.5,-0.25
Luca Koleosho,BUR,F,258,W (Thu),BUR 1<br/>@ARS 3 F,0.25,0.25,1,1,79,0,0,0,0,0,0,0,0,0,1,0,0,2,7,0,0,0,0,3,0,12,2.0,-1.75,0,0,0,0,8.0,2.0,2.0,0.0,W (Thu),-1.75,0.0,-1.75
Elijah Adebayo,LUT,F,248,W (Thu),LUT 0<br/>@MUN 1 F,0.25,0.25,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,12,0.5,-0.25,0,1,0,0,2.0,0.0,0.0,0.0,W (Thu),0.25,0.5,-0.25
Adam Lallana,BHA,M,353,W (Thu),SHU 1<br/>@BHA 1 F,0.25,0.25,1,1,45,0,1,0,0,0,0,0,0,0,0,1,0,2,8,0,0,0,0,0,0,12,2.25,-2.0,0,1,0,0,9.0,1.5,3.0,-1.5,W (Thu),-1.25,-0.75,-0.5
Christian Eriksen,MUN,M,184,TranzOTF,LUT 0<br/>@MUN 1 F,0.0,0.0,1,1,39,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,12,0.5,-0.5,0,0,0,0,inf,0.0,0.0,0.0,W (Thu),0.0,0.5,-0.5
Aaron Cresswell,WHU,D,379,W (Thu),NOT 2<br/>@WHU 3 F,0.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.0,0.0,0,0,0,0,,0.0,0.0,0.0,W (Thu),0.0,0.0,0.0
Jean-Philippe Mateta,CRY,F,246,W (Thu),EVE 3<br/>@CRY 2 F,0.0,0.0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,0.0,0.0,0,0,0,0,,0.0,0.0,0.0,W (Thu),0.0,0.0,0.0
Jakub Kiwior,ARS,D,338,W (Thu),BUR 1<br/>@ARS 3 F,0.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.0,0.0,0,0,0,0,,0.0,0.0,0.0,W (Thu),0.0,0.0,0.0
Ryan Giles,LUT,M,306,W (Thu),LUT 0<br/>@MUN 1 F,0.0,0.0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.0,0.0,0,0,0,0,,0.0,0.0,0.0,W (Thu),0.0,0.0,0.0
Moussa Niakhate,NOT,D,333,tottiand,NOT 2<br/>@WHU 3 F,0.0,0.0,1,1,90,0,0,0,0,2,1,0,0,0,0,3,1,4,1,2,0,0,0,3,0,12,5.25,-1.25,0,4,0,0,inf,-3.25,4.75,-8.0,W (Thu),3.25,0.5,6.75
Aaron Ramsey,BUR,M,346,W (Thu),BUR 1<br/>@ARS 3 F,0.0,0.0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.0,0.0,0,0,0,0,,0.0,0.0,0.0,W (Thu),0.0,0.0,0.0
Lesley Ugochukwu,CHE,F,357,W (Thu),MCI 4<br/>@CHE 4 F,0.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.0,0.0,0,0,0,0,,0.0,0.0,0.0,W (Thu),0.0,0.0,0.0
Joe Rothwell,BOU,M,343,W (Thu),NEW 0<br/>@BOU 2 F,0.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.0,0.0,0,0,0,0,,0.0,0.0,0.0,W (Thu),0.0,0.0,0.0
Naouirou Ahamada,CRY,M,397,W (Thu),EVE 3<br/>@CRY 2 F,0.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.0,0.0,0,0,0,0,,0.0,0.0,0.0,W (Thu),0.0,0.0,0.0
Pelly Ruddock,LUT,M,290,W (Thu),LUT 0<br/>@MUN 1 F,0.0,0.0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,12,0.25,-0.25,0,0,0,0,inf,0.0,0.0,0.0,W (Thu),0.0,0.25,-0.25
Angelo Ogbonna,WHU,D,370,W (Thu),NOT 2<br/>@WHU 3 F,0.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,12,0.25,-0.25,0,0,0,0,inf,0.25,0.25,0.0,W (Thu),-0.25,0.0,-0.25
Emil Krafth,NEW,D,606,W (Thu),NEW 0<br/>@BOU 2 F,0.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.0,0.0,0,0,0,0,,0.0,0.0,0.0,W (Thu),0.0,0.0,0.0
Kieran Trippier,NEW,D,6,Badger12,NEW 0<br/>@BOU 2 F,-0.25,-0.25,1,1,90,0,1,0,0,0,0,0,0,0,0,2,0,1,6,5,0,0,0,2,0,12,3.25,-1.5,0,0,0,0,-13.0,-3.0,2.5,-5.5,XXX,2.75,0.75,4.0
Boubacar Kamara,AVL,M,135,W (Thu),FUL 1<br/>@AVL 3 F,-0.25,-0.25,1,1,90,0,0,0,0,0,0,0,0,0,0,1,0,1,4,0,0,0,0,1,0,12,0.75,-1.0,0,1,0,0,-3.0,0.5,0.5,0.0,W (Thu),-0.75,0.25,-1.0
Tim Ream,FUL,D,132,W (Thu),FUL 1<br/>@AVL 3 F,-0.25,-0.25,1,1,90,0,0,0,0,0,0,0,0,0,2,0,0,1,1,6,0,0,0,3,0,12,4.0,-0.25,0,0,0,0,-16.0,-3.0,3.0,-6.0,W (Thu),2.75,1.0,5.75
Anthony Martial,MUN,F,347,W (Thu),LUT 0<br/>@MUN 1 F,-0.25,-0.25,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,0.0,-0.25,0,0,0,0,-0.0,0.0,0.0,0.0,W (Thu),-0.25,0.0,-0.25
Bryan Gil,TOT,F,438,W (Thu),TOT 1<br/>@WOL 2 F,-0.25,-0.25,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,2,0,12,0.5,-0.75,0,0,0,0,-2.0,-0.5,0.0,-0.5,W (Thu),0.25,0.5,-0.25
Jacob Bruun Larsen,BUR,F,309,W (Thu),BUR 1<br/>@ARS 3 F,-0.25,-0.25,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,0.0,-0.25,0,0,2,0,-0.0,0.0,0.0,0.0,W (Thu),-0.25,0.0,-0.25
William Osula,SHU,F,747,W (Thu),SHU 1<br/>@BHA 1 F,-0.25,-0.25,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,0.0,-0.25,0,0,0,0,-0.0,0.0,0.0,0.0,W (Thu),-0.25,0.0,-0.25
Ben Parkinson,NEW,F,736,W (Thu),NEW 0<br/>@BOU 2 F,-0.25,-0.25,1,0,23,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,12,0.25,-0.5,0,0,1,0,-1.0,0.0,0.0,0.0,W (Thu),-0.25,0.25,-0.5
Eddie Nketiah,ARS,F,50,Boss,BUR 1<br/>@ARS 3 F,-0.5,-0.5,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,12,0.0,-0.5,0,0,1,0,-0.0,0.0,0.0,0.0,W (Thu),-0.5,0.0,-0.5
Marc Cucurella,CHE,D,241,W (Thu),MCI 4<br/>@CHE 4 F,-0.5,-0.5,1,1,90,0,1,0,0,3,1,0,1,0,1,2,1,6,4,2,0,0,0,4,0,12,8.5,-3.0,0,5,0,0,-17.0,-2.5,7.5,-10.0,W (Thu),2.0,1.0,7.0
Amadou Onana,EVE,M,115,chukdave,EVE 3<br/>@CRY 2 F,-0.5,-0.5,1,1,45,0,0,0,0,0,1,0,0,0,0,0,0,1,2,2,0,0,0,1,0,12,1.0,-1.5,0,3,0,0,-2.0,-2.5,0.0,-2.5,W (Thu),2.0,1.0,1.0
Reiss Nelson,ARS,F,406,W (Thu),BUR 1<br/>@ARS 3 F,-0.5,-0.5,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,12,0.0,-0.5,0,0,0,0,-0.0,0.0,0.0,0.0,W (Thu),-0.5,0.0,-0.5
Vitinho,BUR,D,731,W (Thu),BUR 1<br/>@ARS 3 F,-0.5,-0.5,1,1,87,0,0,0,0,3,0,0,0,0,0,3,0,4,5,2,0,0,0,3,0,12,4.75,-1.25,0,1,0,0,-9.5,-1.75,4.75,-6.5,W (Thu),1.25,0.0,5.25
Anis Ben Slimane,SHU,M,437,W (Thu),SHU 1<br/>@BHA 1 F,-0.5,-0.5,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,12,0.0,-0.5,0,0,0,0,-0.0,-0.5,0.0,-0.5,W (Thu),0.0,0.0,0.0
Michail Antonio,WHU,F,123,ZB,NOT 2<br/>@WHU 3 F,-0.75,-0.75,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,12,0.0,-0.75,0,0,1,0,-0.0,0.0,0.0,0.0,Pancake,-0.75,0.0,-0.75
Matt Doherty,WOL,D,328,W (Thu),TOT 1<br/>@WOL 2 F,-0.75,-0.75,1,0,22,0,0,0,0,0,1,0,0,0,0,0,0,1,2,1,0,0,0,0,0,12,0.75,-1.5,0,5,0,0,-1.0,-1.0,1.0,-2.0,W (Thu),0.25,-0.25,0.5
Bobby De Cordova-Reid,FUL,F,176,W (Thu),FUL 1<br/>@AVL 3 F,-0.75,-0.75,1,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,12,0.0,-0.75,0,1,0,0,-0.0,0.0,0.0,0.0,W (Thu),-0.75,0.0,-0.75
Luis Diaz,LIV,F,120,ZB,BRF 0<br/>@LIV 3 F,-1.0,-1.0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,12,0.0,-1.0,0,1,0,0,-0.0,-0.5,0.0,-0.5,Adam,-0.5,0.0,-0.5
Dominic Calvert-Lewin,EVE,F,173,xxx,EVE 3<br/>@CRY 2 F,-1.0,-1.0,1,1,76,0,1,0,0,0,0,0,0,0,0,0,0,4,16,0,0,0,0,2,0,12,3.0,-4.0,0,2,0,0,-3.0,3.0,4.0,-1.0,XXX,-4.0,-1.0,-3.0
Carlos Vinicius,FUL,F,307,W (Thu),FUL 1<br/>@AVL 3 F,-1.0,-1.0,1,0,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.0,-1.0,0,3,2,0,-0.0,-2.0,0.0,-2.0,W (Thu),1.0,0.0,1.0
Dejan Kulusevski,TOT,M,71,ZB,TOT 1<br/>@WOL 2 F,-1.5,-1.5,1,1,90,0,1,0,0,0,0,0,0,0,0,0,0,2,15,1,0,0,0,2,0,12,2.25,-3.75,0,4,0,0,-1.5,1.0,2.5,-1.5,Vroom,-2.5,-0.25,-2.25
Harrison Reed,FUL,M,245,W (Thu),FUL 1<br/>@AVL 3 F,-1.5,-1.5,1,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,12,0.0,-1.5,0,4,0,0,-0.0,-2.0,0.0,-2.0,W (Thu),0.5,0.0,0.5
Mads Roerslev,BRF,D,274,W (Thu),BRF 0<br/>@LIV 3 F,-1.5,-1.5,1,1,71,0,0,0,0,0,0,0,0,0,0,3,0,1,3,0,0,0,0,2,0,12,1.25,-0.75,0,2,0,0,-0.83,-3.25,0.75,-4.0,W (Thu),1.75,0.5,3.25
Axel Disasi,CHE,D,144,ZB,MCI 4<br/>@CHE 4 F,-2.0,-2.0,1,1,90,0,0,0,0,1,0,0,0,0,0,7,1,1,2,3,0,0,0,4,0,12,4.5,-0.5,0,0,0,0,-2.25,-4.75,3.75,-8.5,W (Thu),2.75,0.75,8.0
Kyle Walker,MCI,D,90,Catts4En,MCI 4<br/>@CHE 4 F,-2.25,-2.25,1,1,90,0,1,0,0,1,0,0,0,0,0,2,1,4,5,0,0,0,0,4,0,12,5.0,-1.25,0,3,0,0,-2.22,-3.5,4.5,-8.0,Kish123,1.25,0.5,6.75
Ruben Dias,MCI,D,188,W (Thu),MCI 4<br/>@CHE 4 F,-2.75,-2.75,1,1,90,0,0,0,0,1,0,0,1,1,0,8,0,3,5,2,0,0,0,4,0,12,5.5,-2.25,0,2,0,0,-2.0,-3.0,5.0,-8.0,W (Thu),0.25,0.5,5.75
Mahmoud Dahoud,BHA,M,293,W (Thu),SHU 1<br/>@BHA 1 F,-3.0,-3.0,1,1,68,0,1,0,1,1,0,1,0,0,0,0,0,1,6,2,0,0,0,0,1,12,4.5,-8.5,0,8,0,0,-1.5,-1.0,5.0,-7.0,W (Thu),-2.0,-0.5,-1.5
Fabio Vieira,ARS,M,200,W (Thu),BUR 1<br/>@ARS 3 F,-6.75,-6.75,1,0,23,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,12,0.5,-7.25,0,7,0,0,-0.07,-7.0,0.0,-7.0,W (Thu),0.25,0.5,-0.25
Ollie Watkins,AVL,F,4,xxx,FUL Sun 6:00AM,55.0,55.0,1,1,90,3,5,2,4,0,0,0,0,0,0,1,0,4,5,0,0,0,0,1,0,7,15.25,-1.25,4,0,0,0,0.28,59.5,20.5,0.0,4b. DcbB,-4.5,-5.25,-1.25
Martin Odegaard,ARS,M,33,Catts4En,BUR Sat 7:00AM,34.25,34.25,1,1,90,1,3,2,1,0,0,0,0,2,0,0,0,5,5,0,0,1,0,0,1,7,11.5,-1.25,2,0,0,1,0.34,34.0,13.0,-1.0,avitek,0.25,-1.5,-0.25
Joachim Andersen,CRY,D,7,TranzOTF,EVE Sat 7:00AM,27.5,27.5,1,1,90,1,1,0,1,1,0,0,0,1,1,10,1,6,1,3,0,0,0,0,1,7,12.75,-0.25,1,0,0,0,0.46,29.5,13.5,0.0,deceptiv,-2.0,-0.75,-0.25
Kieran Trippier,NEW,D,5,Badger12,@BOU Sat 9:30AM,26.0,26.0,1,1,90,0,5,1,0,3,0,0,0,2,0,0,0,9,3,3,0,0,0,0,1,7,13.75,-0.75,1,1,0,0,0.53,29.0,16.0,0.0,deceptiv,-3.0,-2.25,-0.75
Ben White,ARS,D,25,TranzOTF,BUR Sat 7:00AM,25.5,25.5,1,1,90,1,0,0,1,4,0,0,0,0,2,4,1,6,3,1,0,0,0,0,1,7,11.25,-0.75,1,2,0,0,0.44,27.5,12.0,-0.5,Vroom,-2.0,-0.75,-0.25
Vladimir Coufal,WHU,D,44,TranzOTF,NOT Sun 6:00AM,24.25,24.25,1,1,90,0,4,1,0,2,0,0,0,2,1,0,1,5,5,4,0,0,0,0,1,7,12.5,-1.25,1,1,0,0,0.52,27.5,15.0,-0.5,deceptiv,-3.25,-2.5,-0.75
Levi Colwill,CHE,D,63,draft,MCI Sun 8:30AM,21.0,21.0,1,1,90,0,1,1,0,2,0,0,0,0,1,3,1,8,3,0,0,0,0,0,1,7,8.75,-0.75,1,2,0,0,0.42,22.75,9.75,0.0,Maddihat,-1.75,-1.0,-0.75
Pedro Porro,TOT,D,38,Bfred,@WOL Sat 4:30AM,20.75,20.75,1,1,90,0,3,1,0,6,1,0,0,1,1,5,2,8,3,1,0,0,0,1,0,7,15.5,-1.75,0,3,0,0,0.75,22.25,19.25,-4.0,dsb_ff,-1.5,-3.75,2.25
Moussa Diaby,AVL,F,20,KFC,FUL Sun 6:00AM,20.75,20.75,1,1,78,0,1,2,2,0,0,0,0,0,0,0,0,5,4,1,0,0,0,1,0,7,7.75,-1.0,1,1,0,0,0.37,21.0,10.0,-1.0,Vroom,-0.25,-2.25,0.0
Virgil van Dijk,LIV,D,39,draft,BRF Sun 6:00AM,18.75,18.75,1,1,90,0,1,1,0,0,1,0,0,0,2,8,6,4,0,7,0,0,0,2,0,7,14.75,-1.0,1,3,0,0,0.79,14.0,13.0,-6.0,Adam,4.75,1.75,5.0
Alexander Isak,NEW,F,61,chukdave,@BOU Sat 9:30AM,18.75,18.75,1,1,88,1,2,0,4,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,7,10.5,-0.75,1,1,1,1,0.56,21.0,12.0,0.0,avitek,-2.25,-1.5,-0.75
Tomas Soucek,WHU,M,74,Bfred,NOT Sun 6:00AM,18.75,18.75,1,1,90,1,0,0,2,1,0,0,0,0,0,3,0,9,5,1,0,0,0,0,1,7,10.0,-1.25,1,0,1,0,0.53,17.0,8.0,-1.0,dsb_ff,1.75,2.0,-0.25
Nayef Aguerd,WHU,D,129,KFC,NOT Sun 6:00AM,18.75,18.75,1,1,90,0,0,0,1,0,0,0,0,0,2,3,5,6,3,3,0,0,0,0,1,7,13.5,-0.75,0,1,0,0,0.72,20.75,14.75,0.0,W (Thu),-2.0,-1.25,-0.75
Nicolas Dominguez,NOT,M,166,Sean,@WHU Sun 6:00AM,18.5,18.5,1,1,79,1,0,0,1,4,0,0,0,0,0,3,0,10,2,1,0,0,0,1,0,7,10.0,-0.5,1,0,0,0,0.54,16.5,7.5,0.0,Kish123,2.0,2.5,-0.5
Jarrod Bowen,WHU,M,11,Badger12,NOT Sun 6:00AM,18.25,18.25,1,1,88,1,1,0,2,1,0,0,0,0,0,0,0,6,2,1,0,0,0,0,1,7,8.75,-0.5,1,0,0,0,0.48,18.5,8.5,0.0,dsb_ff,-0.25,0.25,-0.5
Alfie Doughty,LUT,M,92,Sean,@MUN Sat 7:00AM,18.25,18.25,1,1,82,0,6,1,0,1,0,0,0,1,1,4,0,3,2,3,0,0,0,1,0,7,11.75,-0.5,1,1,1,0,0.64,22.0,16.0,0.0,Vroom,-3.75,-4.25,-0.5
James Ward-Prowse,WHU,M,18,xxx,NOT Sun 6:00AM,18.0,18.0,1,1,90,0,6,0,2,2,0,0,0,2,1,1,1,3,1,2,0,0,0,0,1,7,17.25,-0.25,0,0,0,0,0.96,23.5,22.5,0.0,Pancake,-5.5,-5.25,-0.25
Miguel Almiron,NEW,M,152,xxx,@BOU Sat 9:30AM,17.5,17.5,1,1,88,1,0,0,1,1,0,0,0,0,1,2,0,7,1,1,0,0,0,0,1,7,7.75,-0.25,1,0,0,0,0.44,16.0,6.0,0.0,Pancake,1.5,1.75,-0.25
Matty Cash,AVL,D,53,Bfred,FUL Sun 6:00AM,16.75,16.75,1,1,90,0,1,1,0,4,0,0,0,0,1,2,1,9,2,1,0,0,0,1,0,7,10.25,-0.5,1,0,0,0,0.61,13.5,8.5,-2.0,deceptiv,3.25,1.75,1.5
Richarlison,TOT,F,115,Sean,@WOL Sat 4:30AM,16.75,16.75,1,1,90,0,2,1,2,0,0,0,0,0,2,1,0,7,8,0,0,0,0,1,0,7,11.75,-2.0,1,3,1,0,0.7,17.5,11.5,0.0,Kish123,-0.75,0.25,-2.0
Julian Alvarez,MCI,F,12,Boss,@CHE Sun 8:30AM,16.5,16.5,1,1,90,1,3,0,2,0,1,0,0,0,0,0,0,4,3,1,0,0,0,2,0,7,9.25,-1.75,1,4,0,0,0.56,17.5,11.0,-2.5,dsb_ff,-1.0,-1.75,0.75
Bruno Guimaraes,NEW,M,49,KFC,@BOU Sat 9:30AM,16.25,16.25,1,1,90,0,5,0,0,4,0,0,0,1,2,0,1,9,4,3,0,0,0,0,1,7,16.25,-1.0,0,0,0,0,1.0,20.5,20.5,-1.0,Kish123,-4.25,-4.25,0.0
Oleksandr Zinchenko,ARS,D,126,W (Thu),BUR Sat 7:00AM,16.25,16.25,1,1,68,0,2,0,1,1,0,0,0,0,2,2,0,7,3,2,0,0,0,0,1,7,11.0,-0.75,0,0,0,0,0.68,17.5,11.5,0.0,W (Thu),-1.25,-0.5,-0.75
Anthony Gordon,NEW,M,15,Bfred,@BOU Sat 9:30AM,16.0,16.0,1,1,90,0,0,1,1,2,1,0,0,0,0,0,0,11,6,0,0,1,0,0,1,7,10.5,-2.5,0,4,0,0,0.66,13.0,9.0,-3.0,4b. DcbB,3.0,1.5,0.5
Christian Norgaard,BRF,M,55,draft,@LIV Sun 6:00AM,15.75,15.75,1,1,90,1,2,0,1,0,0,0,0,1,1,0,0,4,7,2,0,0,0,1,0,7,8.5,-1.75,1,2,1,0,0.54,19.0,10.0,0.0,deceptiv,-3.25,-1.5,-1.75
Bukayo Saka,ARS,M,6,chukdave,BUR Sat 7:00AM,15.5,15.5,1,1,75,1,0,0,2,1,0,0,0,0,0,1,0,4,7,2,0,0,0,0,1,7,7.25,-1.75,1,2,0,0,0.47,16.0,6.5,-0.5,Adam,-0.5,0.75,-1.25
Cody Gakpo,LIV,F,192,tottiand,BRF Sun 6:00AM,15.5,15.5,1,1,45,1,1,0,2,0,0,0,0,0,1,0,0,2,2,0,0,0,0,1,0,7,7.0,-0.5,1,1,0,0,0.45,16.5,7.5,0.0,Pancake,-1.0,-0.5,-0.5
Gabriel Jesus,ARS,F,202,KFC,BUR Sat 7:00AM,15.25,15.25,1,1,90,0,3,1,0,1,0,0,0,0,1,0,0,9,4,1,0,0,0,0,1,7,9.25,-1.0,0,0,0,0,0.61,15.5,11.5,-2.0,Adam,-0.25,-2.25,1.0
Dominic Calvert-Lewin,EVE,F,156,xxx,@CRY Sat 7:00AM,15.25,15.25,1,1,90,1,0,0,2,0,0,0,0,0,0,1,0,9,10,0,0,0,0,2,0,7,8.75,-2.5,1,0,0,0,0.57,15.5,8.5,-2.0,XXX,-0.25,0.25,-0.5
Son Heung-Min,TOT,F,10,Catts4En,@WOL Sat 4:30AM,14.5,14.5,1,1,68,1,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,7,6.0,-0.5,1,0,0,0,0.41,14.5,6.0,-0.5,deceptiv,0.0,0.0,0.0
Eberechi Eze,CRY,M,51,Bfred,EVE Sat 7:00AM,14.25,14.25,1,1,87,0,2,1,0,1,0,0,0,1,0,1,1,5,4,0,0,0,0,0,1,7,7.25,-1.0,0,1,0,0,0.51,16.0,9.0,0.0,XXX,-1.75,-1.75,-1.0
John McGinn,AVL,M,62,KFC,FUL Sun 6:00AM,14.25,14.25,1,1,90,0,3,1,0,1,0,0,0,0,1,0,0,8,7,2,0,0,0,1,0,7,9.0,-1.75,1,3,0,0,0.63,15.5,10.0,-0.5,Kish123,-1.25,-1.0,-1.25
Douglas Luiz,AVL,M,14,draft,FUL Sun 6:00AM,14.0,14.0,1,1,90,1,1,0,1,2,1,0,0,0,0,0,0,5,4,2,0,0,0,1,0,7,7.0,-2.0,1,5,0,0,0.5,12.5,6.0,-2.5,Maddihat,1.5,1.0,0.5
Marc Guehi,CRY,D,67,Badger12,EVE Sat 7:00AM,14.0,14.0,1,1,90,0,0,0,0,1,0,0,0,0,2,8,2,3,3,3,0,0,0,0,1,7,8.75,-0.75,0,0,0,0,0.62,14.0,8.0,0.0,avitek,0.0,0.75,-0.75
Emerson,WHU,D,144,ZB,NOT Sun 6:00AM,14.0,14.0,1,1,90,0,1,0,0,2,0,0,0,1,2,4,0,4,0,0,0,0,0,0,1,7,8.0,0.0,0,0,0,0,0.57,15.0,9.0,0.0,avitek,-1.0,-1.0,0.0
Matheus Cunha,WOL,F,57,chukdave,TOT Sat 4:30AM,13.75,13.75,1,1,85,0,2,1,0,1,0,0,0,0,0,2,1,8,5,0,0,0,0,1,0,7,8.0,-1.25,1,0,0,0,0.58,14.5,9.5,-1.0,Maddihat,-0.75,-1.5,-0.25
Abdoulaye Doucoure,EVE,M,35,KFC,@CRY Sat 7:00AM,13.5,13.5,1,1,59,0,3,1,1,0,0,0,0,1,0,0,0,1,2,2,0,0,0,2,0,7,7.0,-0.5,0,0,0,0,0.52,16.0,10.0,0.0,XXX,-2.5,-3.0,-0.5
Eddie Nketiah,ARS,F,36,Boss,BUR Sat 7:00AM,13.5,13.5,1,1,68,0,0,1,0,0,0,0,0,0,1,1,0,8,3,0,0,1,0,0,1,7,7.25,-0.75,0,2,0,0,0.54,14.5,8.5,0.0,Pancake,-1.0,-1.25,-0.75
Tyrick Mitchell,CRY,D,66,W (Thu),EVE Sat 7:00AM,13.5,13.5,1,1,90,0,0,0,0,0,0,0,0,0,3,3,3,3,4,1,0,0,0,0,1,7,8.5,-1.0,0,2,0,0,0.63,12.75,6.75,0.0,W (Thu),0.75,1.75,-1.0
Carlton Morris,LUT,F,96,xxx,@MUN Sat 7:00AM,13.0,13.0,1,1,77,1,0,0,1,0,0,0,0,0,0,2,0,8,11,1,0,0,0,1,0,7,6.75,-2.75,1,3,1,0,0.52,14.0,5.5,-0.5,dsb_ff,-1.0,1.25,-2.25
Cole Palmer,CHE,M,54,Boss,MCI Sun 8:30AM,13.0,13.0,1,1,77,0,1,1,1,0,1,0,0,1,2,0,0,3,7,1,0,0,0,0,1,7,7.75,-2.75,0,5,0,0,0.6,11.0,7.0,-3.0,Kish123,2.0,0.75,0.25
Hwang Hee-Chan,WOL,F,23,Bfred,TOT Sat 4:30AM,12.75,12.75,1,1,85,1,0,0,1,0,1,0,0,0,1,0,0,5,3,0,0,0,0,1,0,7,5.5,-1.75,1,5,0,0,0.43,13.5,7.0,-2.5,W (Thu),-0.75,-1.5,0.75
Tom Lockyer,LUT,D,148,W (Thu),@MUN Sat 7:00AM,12.75,12.75,1,1,55,1,0,0,1,0,0,0,0,0,0,3,1,0,4,4,0,0,0,1,0,7,4.75,-1.0,1,0,0,0,0.37,11.75,3.75,-2.0,W (Thu),1.0,1.0,1.0
Armando Broja,CHE,F,331,W (Thu),MCI Sun 8:30AM,12.75,12.75,1,1,64,1,0,0,1,0,0,0,0,0,0,1,0,5,4,0,0,0,0,0,1,7,4.75,-1.0,1,0,2,0,0.37,13.0,4.5,-0.5,W (Thu),-0.25,0.25,-0.5
