"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","%D","ADP","Ros %","+/-","GP","GS","Min","G","G/G","A","Pts","S","SOT","FC","FS","YC","RC","DPt","Off","PKG","CS"
"*061yd*","Ivan Perisic","TOT","M","202","FA","SHU 1<br/>@TOT 2 F","7","7","55%","134.91","23%","-2.6%","1","0","9","0","0.0","1","1","1","0","0","0","1","0","3","0","0","0"
"*05r8o*","Jean-Philippe Mateta","CRY","F","186","FA","CRY 1<br/>@AVL 3 F","7","7","1%","1145.97","8%","+2.7%","1","0","64","0","0.0","1","1","0","0","1","0","0","0","1","0","0","0"
"*03rxa*","Idrissa Gueye","EVE","M","177","FA","ARS 1<br/>@EVE 0 F","7","7","4%","385.9","7%","+1.3%","1","1","90","0","0.0","0","0","2","1","1","2","0","0","1","0","0","0"
"*0427d*","James Tarkowski","EVE","D","60","Adam","ARS 1<br/>@EVE 0 F","6.75","6.75","94%","94.54","93%","+27.7%","1","1","90","0","0.0","0","0","0","0","2","0","0","0","2","0","0","0"
"*05tr5*","Mads Roerslev","BRF","D","253","FA","BRF 0<br/>@NEW 1 F","6.75","6.75","0%","1105.43","4%","-6.8%","1","0","47","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05gcr*","Bruno Fernandes","MUN","M","14","4b. DcbB","BHA 3<br/>@MUN 1 F","6.5","6.5","100%","3.52","100%","0%","1","1","90","0","0.0","0","0","2","1","2","1","1","0","5","0","0","0"
"*04abb*","Phil Foden","MCI","M","17","XXX","MCI 3<br/>@WHU 1 F","6.5","6.5","100%","16.45","100%","0%","1","1","66","0","0.0","0","0","5","1","2","1","0","0","2","0","0","0"
"*02lkp*","Raheem Sterling","CHE","F","57","4b. DcbB","CHE 0<br/>@BOU 0 F","6.5","6.5","100%","57.78","99%","-0.7%","1","1","90","0","0.0","0","0","4","0","1","4","1","0","4","1","0","1"
"*05omu*","Ruben Dias","MCI","D","184","FA","MCI 3<br/>@WHU 1 F","6.5","6.5","98%","68.96","96%","-0.3%","1","1","90","0","0.0","0","0","2","2","1","0","0","0","1","0","0","0"
"*04f67*","Philip Billing","BOU","M","112","W (Fri)","CHE 0<br/>@BOU 0 F","6.5","6.5","75%","128.34","72%","-4.4%","1","1","90","0","0.0","0","0","2","0","1","3","0","0","1","0","0","1"
"*06dqv*","Luca Koleosho","BUR","F","121","W (Fri)","BUR 1<br/>@NOT 1 F","6.5","6.5","0%","1155.67","26%","+13.3%","1","1","75","0","0.0","0","0","0","0","2","1","0","0","2","1","0","0"
"*04io3*","Mario Lemina","WOL","M","150","FA","LIV 3<br/>@WOL 1 F","6.5","6.5","0%","1184.06","12%","-5.1%","1","1","77","0","0.0","0","0","1","0","1","0","0","0","1","0","0","0"
"*04xjr*","Harvey Elliott","LIV","M","294","FA","LIV 3<br/>@WOL 1 F","6.5","6.5","14%","274.51","7%","-0.5%","1","0","33","0","0.0","0","0","3","0","0","0","1","0","3","0","0","0"
"*05uhs*","James Mcatee","SHU","M","299","FA","SHU 1<br/>@TOT 2 F","6.5","6.5","0%","1148.2","6%","-1.8%","1","1","69","0","0.0","0","0","2","2","0","1","0","0","0","0","0","0"
"*04f6o*","Will Hughes","CRY","M","231","Adam","CRY 1<br/>@AVL 3 F","6.5","6.5","0%","-","2%","+1.1%","1","1","90","0","0.0","0","0","0","0","2","1","1","0","5","0","0","0"
"*05tr1*","Ethan Pinnock","BRF","D","61","4b. DcbB","BRF 0<br/>@NEW 1 F","6.25","6.25","99%","71.39","97%","-1%","1","1","90","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05y7i*","Jarell Quansah","LIV","D","315","FA","LIV 3<br/>@WOL 1 F","6.25","6.25","0%","1105.2","2%","-1.1%","1","1","82","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06cmm*","Dominik Szoboszlai","LIV","M","27","Kish123","LIV 3<br/>@WOL 1 F","6","6","100%","33.74","100%","0%","1","1","90","0","0.0","0","0","2","1","0","2","0","0","0","0","0","0"
"*05ylj*","Bruno Guimaraes","NEW","M","35","Kish123","BRF 0<br/>@NEW 1 F","6","6","100%","39.32","98%","+6.6%","1","1","90","0","0.0","0","0","1","1","2","1","1","0","5","0","0","1"
"*05gcp*","Tomas Soucek","WHU","M","40","dsb_ff","MCI 3<br/>@WHU 1 F","6","6","59%","136.62","85%","+5%","1","1","86","0","0.0","0","0","0","0","0","0","1","0","3","0","0","0"
"*067yz*","Matheus Cunha","WOL","F","68","Maddihat","LIV 3<br/>@WOL 1 F","6","6","34%","147.17","57%","-12.1%","1","1","60","0","0.0","0","0","2","1","0","1","0","0","0","0","0","0"
"*04ug0*","Sean Longstaff","NEW","M","87","dsb_ff","BRF 0<br/>@NEW 1 F","6","6","1%","1131.28","42%","+32.2%","1","1","90","0","0.0","0","0","0","0","1","0","0","0","1","0","0","1"
"*061z3*","Fabio Vieira","ARS","M","141","Kish123","ARS 1<br/>@EVE 0 F","6","6","3%","377.21","41%","-16.1%","1","1","79","0","0.0","0","0","4","0","1","2","0","0","1","0","0","1"
"*068lx*","Dango Ouattara","BOU","F","279","Adam","CHE 0<br/>@BOU 0 F","6","6","55%","132.65","27%","-2.4%","1","1","62","0","0.0","0","0","2","1","0","0","0","0","0","1","0","1"
"*0649j*","Manuel Akanji","MCI","D","110","dsb_ff","MCI 3<br/>@WHU 1 F","5.75","5.75","88%","107.72","97%","-1.1%","1","1","90","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05ojg*","Nelson Semedo","WOL","D","203","FA","LIV 3<br/>@WOL 1 F","5.75","5.75","6%","362.61","19%","-16.4%","1","1","90","0","0.0","0","0","1","0","0","2","1","0","3","0","0","0"
"*05l27*","Jarrad Branthwaite","EVE","D","199","FA","ARS 1<br/>@EVE 0 F","5.75","5.75","1%","1122.21","15%","+9.7%","1","1","90","0","0.0","0","0","0","0","0","2","0","0","0","0","0","0"
"*04qos*","Issa Diop","FUL","D","229","FA","LUT 0<br/>@FUL 1 F","5.75","5.75","0%","1155.83","12%","+1.5%","1","1","90","0","0.0","0","0","0","0","1","0","1","0","4","0","0","1"
"*05uoc*","Cristian Romero","TOT","D","46","Adam","SHU 1<br/>@TOT 2 F","5.5","5.5","51%","138.15","90%","-1%","1","1","90","0","0.0","0","0","2","0","1","1","0","0","1","0","0","0"
"*068a1*","Mykhailo Mudryk","CHE","M","156","Pancake","CHE 0<br/>@BOU 0 F","5.5","5.5","100%","57.69","79%","+1.2%","1","1","62","0","0.0","0","0","0","0","2","1","1","0","5","0","0","1"
"*05ogb*","Anthony Elanga","NOT","F","107","FA","BUR 1<br/>@NOT 1 F","5.5","5.5","42%","145.09","44%","+5.5%","1","1","90","0","0.0","0","0","1","1","0","2","0","0","0","0","0","0"
"*06c4o*","Lyle Foster","BUR","F","97","avitek","BUR 1<br/>@NOT 1 F","5.5","5.5","1%","1120.94","21%","-0.2%","1","1","88","0","0.0","1","1","2","1","1","2","0","1","7","0","0","0"
"*06ex4*","Josko Gvardiol","MCI","D","144","FA","MCI 3<br/>@WHU 1 F","5","5","79%","73.69","82%","-3.4%","1","1","88","0","0.0","0","0","2","1","2","1","1","0","5","0","0","0"
"*05l8q*","Cole Palmer","CHE","M","218","Kish123","CHE 0<br/>@BOU 0 F","5","5","16%","247.87","46%","+5.6%","1","0","26","0","0.0","0","0","1","1","0","1","0","0","0","0","0","0"
"*0620k*","Nayef Aguerd","WHU","D","109","FA","MCI 3<br/>@WHU 1 F","5","5","14%","266.8","32%","+8.4%","1","1","90","0","0.0","0","0","2","0","0","1","0","0","0","0","0","0"
